frame,points,derivation
0,32,0
1,31,1
2,30,1
3,29,1
4,31,2
5,31,0
6,28,3
7,27,1
8,25,2
9,25,0
10,24,1
11,24,0
12,26,2
13,25,1
14,25,0
15,25,0
16,24,1
17,24,0
18,27,3
19,24,3
20,26,2
21,27,1
22,25,2
23,30,5
24,26,4
25,27,1
26,28,1
27,28,0
28,27,1
29,28,1
30,30,2
31,28,2
32,30,2
33,27,3
34,28,1
35,28,0
36,26,2
37,28,2
38,30,2
39,28,2
40,28,0
41,30,2
42,33,3
43,32,1
44,29,3
45,25,4
46,29,4
47,30,1
48,30,0
49,29,1
50,30,1
51,29,1
52,29,0
53,32,3
54,29,3
55,31,2
56,31,0
57,30,1
58,30,0
59,28,2
60,28,0
61,28,0
62,29,1
63,30,1
64,30,0
65,27,3
66,29,2
67,32,3
68,30,2
69,32,2
70,32,0
71,29,3
72,32,3
73,28,4
74,31,3
75,30,1
76,30,0
77,30,0
78,31,1
79,26,5
80,26,0
81,28,2
82,31,3
83,29,2
84,27,2
85,28,1
86,27,1
87,31,4
88,28,3
89,28,0
90,29,1
91,31,2
92,29,2
93,27,2
94,31,4
95,31,0
96,27,4
97,29,2
98,29,0
99,28,1
100,27,1
101,30,3
102,28,2
103,27,1
104,30,3
105,28,2
106,30,2
107,33,3
108,30,3
109,31,1
110,33,2
111,32,1
112,29,3
113,30,1
114,30,0
115,29,1
116,28,1
117,30,2
118,28,2
119,28,0
120,31,3
121,29,2
122,29,0
123,29,0
124,32,3
125,28,4
126,29,1
127,31,2
128,29,2
129,30,1
130,28,2
131,27,1
132,29,2
133,31,2
134,30,1
135,31,1
136,28,3
137,28,0
138,30,2
139,31,1
140,28,3
141,31,3
142,30,1
143,31,1
144,29,2
145,29,0
146,29,0
147,30,1
148,31,1
149,30,1
150,30,0
151,29,1
152,30,1
153,30,0
154,32,2
155,27,5
156,28,1
157,29,1
158,29,0
159,27,2
160,30,3
161,30,0
162,27,3
163,29,2
164,30,1
165,31,1
166,30,1
167,30,0
168,30,0
169,31,1
170,29,2
171,30,1
172,27,3
173,31,4
174,32,1
175,28,4
176,28,0
177,32,4
178,30,2
179,28,2
180,30,2
181,31,1
182,27,4
183,28,1
184,29,1
185,29,0
186,30,1
187,27,3
188,30,3
189,29,1
190,32,3
191,32,0
192,31,1
193,29,2
194,30,1
195,29,1
196,27,2
197,30,3
198,28,2
199,30,2